bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
28,0.025,0.021666666666666667,0.023333333333333338,0.022500000000000003,0.0016666666666666668,right,31,0.029523809523809525,17.71428571428571,14,13,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
29,0.025,0.023333333333333338,0.025,0.02416666666666667,0.0016666666666666668,right,27,0.025714285714285714,15.428571428571427,15,14,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
0,0.05,-0.05,-0.04666666666666667,-0.04833333333333334,0.0033333333333333335,left,176,0.07296849087893864,21.89054726368159,-15,0,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
1,0.05,-0.04666666666666667,-0.043333333333333335,-0.045,0.0033333333333333335,left,125,0.051824212271973466,15.547263681592039,-14,1,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
2,0.05,-0.043333333333333335,-0.04,-0.04166666666666667,0.0033333333333333335,left,216,0.08955223880597014,26.865671641791042,-13,2,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
3,0.05,-0.04,-0.03666666666666667,-0.03833333333333333,0.0033333333333333335,left,143,0.059286898839137646,17.78606965174129,-12,3,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
4,0.05,-0.03666666666666667,-0.03333333333333334,-0.035,0.0033333333333333335,left,106,0.0439469320066335,13.184079601990048,-11,4,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
5,0.05,-0.03333333333333334,-0.030000000000000002,-0.03166666666666667,0.0033333333333333335,left,80,0.03316749585406302,9.950248756218905,-10,5,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
6,0.05,-0.030000000000000002,-0.02666666666666667,-0.028333333333333335,0.0033333333333333335,left,66,0.02736318407960199,8.208955223880595,-9,6,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
7,0.05,-0.02666666666666667,-0.023333333333333334,-0.025,0.0033333333333333335,left,126,0.05223880597014925,15.671641791044774,-8,7,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
8,0.05,-0.023333333333333334,-0.02,-0.021666666666666667,0.0033333333333333335,left,148,0.06135986733001658,18.40796019900497,-7,8,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
9,0.05,-0.02,-0.01666666666666667,-0.018333333333333333,0.0033333333333333335,left,71,0.02943615257048093,8.830845771144277,-6,9,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
10,0.05,-0.01666666666666667,-0.013333333333333336,-0.015000000000000003,0.0033333333333333335,left,68,0.028192371475953566,8.457711442786069,-5,10,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
11,0.05,-0.013333333333333336,-0.010000000000000002,-0.011666666666666669,0.0033333333333333335,left,69,0.028606965174129355,8.582089552238806,-4,11,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
12,0.05,-0.010000000000000002,-0.006666666666666668,-0.008333333333333335,0.0033333333333333335,left,57,0.0236318407960199,7.089552238805969,-3,12,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
13,0.05,-0.006666666666666668,-0.003333333333333334,-0.005000000000000001,0.0033333333333333335,left,64,0.026533996683250415,7.960199004975124,-2,13,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
